,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
3701,Shank,"October 25, 2010",PC,67,6.8,"Shank is a new game that a small team at Klei is working on. It's an over-the-top action/adventure, built with all the things that we at Klei are passionate about: amazing control, great animation, immersive environment, and everything else that we feel like, and none of the stuff we don't.",11,Klei Entertainment,Electronic Arts,3,"Action,Beat-'Em-Up,Beat-'Em-Up,2D"
3702,Pirate Hunter,"October 17, 2003",PC,67,6.3,"Experience the swashbuckling world of Pirate Hunter and run amuck through the Caribbean. Through 16 scenarios, grow your riches as you steal ships, plunder towns, and earn bounties placed by town governors. Stay vigilant to avoid treachery, mutiny and defeat or else you'll end up in Davey Jones' locker. [Encore Software]",11,"Ascaron Entertainment GmbH, Ascaron Entertainment","Encore Software, Inc.",1,"Action Adventure,Historic,General,Historic"
3703,Earth 2150: Lost Souls,"September 9, 2002",PC,67,6.6,"It is the 7th of December, 2150 and the Earth is quickly coming to an end. An ongoing feud between the Eurasian Dynasty and the United Civilized States has left the planet in disarray - people are hungry, resources are scarce and agricultural production has stopped. But the situation is getting even worse. A series of nuclear explosions near Antarctica have altered the Earth's orbit around the sun, making glaciers melt and the seas rise to threatening levels and the catastrophe has been worsened by meteorite showers that have buried whole parts of the planet. Thanks to a group of scientists from the Lunar Corporation, a long forgotten colony on the Moon, many people have managed to escape the terror and make their way to the nearby safety of Mars, but an unlucky few - the Lost Souls - have been left behind. And now they are seeking revenge. [Strategy First]",11,Zuxxez,Strategy First,1,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command"
3704,Tom Clancy's Rainbow Six Rogue Spear: Black Thorn,"October 31, 2001",PC,67,4.9,"Someone is recreating terrorism's most violent acts, and RAINBOW is back on the job. But this new, deadly enemy knows how RAINBOW thinks, how RAINBOW acts, and how to stay one step ahead. [Red Storm Entertainment]",9,Red Storm Entertainment,Ubisoft,1,"Action,Shooter,Shooter,First-Person,Tactical,Modern"
3705,The Sims 3: Showtime,"March 6, 2012",PC,67,5.3,"The latest expansion to The Sims 3 will let players see their Sims hit the road as singers, acrobats, magicians, and DJs.",17,The Sims Studio,Electronic Arts,1,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life"
3706,Dungeonland,"January 29, 2013",PC,67,7.5,"A theme park is a magical place reserved only for children, right? Wrong. DEAD wrong. Dungeonland redefines the idea of having ""fun"" in a fantasy theme park as it attempts to entrap your heroes and let them line up for their demise. Playing as the Rogue, the Warrior, or the Mage, heroes will adventure in a classic co-op dungeon crawl, with a sinister twist: three players can play as the daring heroes, while a fourth takes on the role of Dungeonland's Game Master, using a pool of traps and monsters to annihilate their unwelcome guests! Featuring hero customization, looting and dozens of items, Dungeonland is an amoral, atypical take on asymmetric gameplay.",17,Critical Studio,Paradox Interactive,1,"Action,Strategy,General,Real-Time,General,MOBA"
3707,Into the Pit,"October 19, 2021",PC,67,4.2,"A fast-paced retro-FPS roguelite. As a member of a family of lore-hunting mystics you are summoned to a cursed village, drawn by rumors of a demonic portal. Dark magics have overwhelmed the village, It's up to you to rescue the survivors, grow your powers, and journey forth INTO THE PIT.",9,Nullpointer Games,Humble Games,2,"Action,Shooter,First-Person,Arcade"
3708,The Way,"May 19, 2016",PC,67,7.2,"Journey to another planet and discover its secrets in order to bring your loved one back to life. Experience an adventure, inspired by old school classics like Another World, Heart of Darkness and Flashback.",14,Puzzling Dream,PlayWay,2,"Action,Platformer,2D"
3709,D4: Dark Dreams Don't Die,"June 5, 2015",PC,67,7.1,"Follow the story of Detective David Young, who has the curious ability to dive back in time, and use the power of Kinect or your controller to help David solve the mystery of his murdered wife and prevent it from ever occurring.",14,Access Games,Active Gaming Media Inc.,2,"Adventure,3D,Point-and-Click,Third-Person"
3710,Chronos: Before the Ashes,"December 1, 2020",PC,67,6.4,"An Adventure RPG with a refreshing combination of adventure game elements and RPG mechanics. Deep combat - a variety of weapons, abilities and powers are available to the player in the pursuit of their quest. Unique aging mechanic - Every time the player dies they age One year. Players must adapt to their advancing age as they progress their character; starting the game young, nimble and quick, and ending wise and more attuned to magic.",19,Gunfire Games,Gunfire Games,5,"Action Adventure,General"
3711,Small Radios Big Televisions,"November 8, 2016",PC,67,4.8,Explore the inner workings of deserted factories in search of data cassettes that contain boundless virtual worlds. Collect more tapes and explore more worlds and you'll soon discover new methods of traversal and control that will take you farther than you'd ever expect.,7,"Owen Deery, Fire Face",Adult Swim,2,"Adventure,3D,First-Person"
3712,Rogue Wizards,"September 27, 2016",PC,67,6.7,"The Council oversees the elam families, aristocrats who are descended from the first humans in Rilfanor, and the banlits, who were originally people born without magical abilities. The Guild has never admitted banlits because of their lack of magical capacity; and they've never admitted women because they believed women were too weak-minded to control such power. Now, many generations later, the elam magic is weakening, and latent magic talent has reappeared among the banlit population. Many of the elam are in denial, but some of them want to take the radical step of allowing banlits, including women, into the Guild.",8,Spellbind Studios,Spellbind Studios,5,"Role-Playing,Roguelike,Western-Style"
3713,CALENDULA,"February 2, 2016",PC,67,7.4,Calendula is an experimental meta game about trying to play a game. Use your logic to thrive against conventions and get surrounded by a dark atmosphere.,7,Blooming Buds Studio,Blooming Buds Studio,1,"Adventure,3D,First-Person"
3714,Operation Flashpoint: Red River,"June 6, 2011",PC,67,4.9,"Taking a small step into the future, Red River depicts a fictional conflict with contemporary geopolitical themes, which will unfold over three distinct acts in both single player and drop-in-drop-out co-operative play for up to four players online. Faced with new counter-insurgency combat and the returning threat of the Chinese PLA, players will feel the tension, brutality and carnage of modern conflict from the perspective of a marine fireteam on deployment in a hostile country, thousands of miles from home.",25,Codemasters,Codemasters,3,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
3715,The Sims: Pet Stories,"June 19, 2007",PC,67,7.6,"Train, play, and care for your cats and dogs, and count on many unexpected twists and turns in this easy-to-play, laptop-friendly version of The Sims. The Sims Pet Stories features two great ways to play. In the new and engaging directed Story mode, you take on a variety of challenges as you compete for 1st place in a local pet show and learn to tame a variety of pet personalities. You even unlock rewards along the way as you achieve set goals. In open-ended Classic mode, you create your Sims and their pets, design their homes, and teach your pets tricks. You decide how their stories unfold. [Electronic Arts]",10,Maxis,EA Games,1,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life"
3716,In Cold Blood,"March 25, 2001",PC,67,7.2,Travel the world controlling M16 Secret British Secret Service agent John Cord in this Spy action action adventure.,13,Revolution Software,DreamCatcher Interactive,1,"Adventure,General,General"
3717,Interrogation: You will be deceived,"December 5, 2019",PC,67,7.6,"As a police detective tasked with bringing down a dangerous terrorist group, you fight on two fronts: interrogating suspects & managing your team and its reputation. With time running out, how far will you go to stop these criminals? Manipulation, threats or even torture? Does the end justify the means?",12,Critique Gaming,Mixtvision,3,"Adventure,General"
3718,Onimusha: Warlords,"January 15, 2019",PC,67,6.4,"As power-hungry warlords battle one another for control of feudal Japan, a young princess is kidnapped. Now, one lone swordsman, Samanosuke, boldly volunteers to rescue and avenge her. An entire legion of demon warriors stands between you and the princess, so you'll need all your weapons and magic to break through. The world of Onimusha: Warlords comes alive with waterfalls, wind effects, insects, and weather, but in order to triumph, you must stay focused on your mission.",9,Capcom,Capcom,5,"Action Adventure,General"
3719,Runaway: The Dream of the Turtle,"March 14, 2007",PC,67,7.9,"The adventure is made up of 6 main chapters. Players can explore more than 100 different places in all four corners of the globe: Alaska, Hawaii, underwater or in the sky, in the heart of the jungle or on board a huge yacht. There are tons of different colourful places, marvellous backdrops for an unforgettable adventure. Pendulo Studio has concocted a large number of tasty puzzles and scintillating enigmas of advancing difficulty levels for players to solve. But Pendulo Studio has also taken care that nobody will get stuck for too long in certain game passages; difficulty levels in comparison with the first episode remain the same. All players have to do is open their eyes and ears for clues that emerge throughout and deploy the basic level of nous required for all adventure games. [Pendulo Studios]",26,Pendulo Studios,cdv Software,1,"Adventure,3D,Modern,Third-Person,Modern"
3720,WE ARE FOOTBALL,"June 10, 2021",PC,67,5.5,"As a manager and trainer in WE ARE FOOTBALL, you'll come face to face with the latest trends in the world of football, experiencing all the emotional highs and lows of your favorite club.

For the first time ever, this modern football manager game also offers a women's football game mode, featuring all the same functionality as well as many unique gameplay elements. To maintain and ensure the highest quality across all game modes, WE ARE FOOTBALL has been developed with experienced football management veterans such as Gerald Kohler, Rolf Langenberg, and Dirk Winter.

WE ARE FOOTBALL focuses on real management tasks. The goal of the game is to build up the club over the long haul, including growing the team, colleagues, infrastructure, fans, and more. As a result, the football players in the game are individual personalities who spin their own stories.",12,Winning Streak Games,THQ Nordic,1,"Sports,Team,Soccer,Management"
3721,Rise of Incarnates,"July 1, 2015",PC,67,7.0,"A free-to-play action game blending fighting and shooting in a 2v2 battle arena. Feel a rush of power as you awaken latent character abilities and string together combos, all while working strategically with your partner to dominate opponents.",8,Bandai Namco Games,Bandai Namco Games,1,"Action,General"
3722,The Dark Crystal: Age of Resistance Tactics,"February 4, 2020",PC,67,6.6,"Netflix's The Dark Crystal: Age of Resistance comes to life as a thrilling tactical strategy game!

In The Dark Crystal: Age of Resistance Tactics, lead the heroic Gelfling to restore light to the world of Thra! Experience everything the fantasy world has to offer by playing throughand going beyondthe events of the Netflix series. Encounter never-seen-before playable characters, stories, and environments. 

Over the course of 80 unique turn-based campaign battles taking place across the lands of Thra, recruit new allies and customize their forces by assigning them jobs and outfitting them with new equipment.

Continue the Story in an Expanded World of Thra - Delve deeper into the legend of The Dark Crystal to learn more about the Gelfling clans and their histories across more than 5 diverse, modular territories. Choose from over 15 character jobs, play through reimagined and brand-new battles against the malicious Skeksis and help lead the proud Gelfling to victory.

Gelfling Tactics - Devise unique ways for the outmatched Gelfling to fulfill their prophecy in multi-layered, turn-based tactical combat. Units can be customized for specific fights with gear, upgradable abilities and a job system. Use guile, planning and cunning to overcome superior foes!

Highly Replayable - Replay finished battles to earn full marks or replay the entire game! Once completed, challenge New Game+ mode, keeping all progress from the first playthrough while facing more difficult versions of battles.

Rich, Dynamic Environments - The world of Thra is a living, unpredictable environment as dangerous as it is beautiful. Dynamic events on the battlefield may create opportunities or put the Gelflings at a disadvantage, necessitating rapid changes in strategy.",13,BonusXP,En Masse Entertainment,4,"Strategy,Turn-Based,Tactics"
3723,Scanner Sombre,"April 26, 2017",PC,67,7.0,"Regaining consciousness you smell the damp. Opening your eyes you see the stone walls of the chamber flickering by the light of the fire; you stumble to your feet and kick a helmet clattering across the floor. Slowly the ache in your head begins to subside and you notice the beginnings of a passage. After a few steps the darkness consumes you. Returning to the safely of the fire you see a LIDAR scanner on the floor - a trigger press results in a faint glow coming from inside the helmet. You put the helmet on, adjust the beam-width and proceed into the abyss.",13,Introversion Software,Introversion Software,1,"Action Adventure,Linear"
3724,Pacific Storm,"October 2, 2006",PC,67,5.9,"On December 7, 1941, a major part of the U.S. Pacific navy stationed at Pearl Harbor was assaulted by Japanese planes. Japanese fighters were destroying American aircraft on land and in the air, without giving them a chance for a counterattack. The furious battle of Pearl Harbor became the first in the sequence of gory sea combats. Now you can take part in all major Pacific battles of the World War II in the Pacific Storm game that is a mixture of RTS, war-game and simulator. All major and important sea battles of World War II, which took place in the Pacific Ocean, are included and you can play either for the USA or Japan.Mine the resources (money, iron and nickel ore, bauxites and oil), train various units and retaliate! Sink'em all! [Buka Entertainment]",10,Lesta Studio,cdv Software,1,"Strategy,Real-Time,Historic,General,Historic"
3725,Faces of War,"September 12, 2006",PC,67,8.4,"Faces of War combines real-time strategy with advanced tactics and the ability to control a single unit in battle. This game is being developed by the same team that created the original title, Soldiers: Heroes of World War II. Faces of War immerses players right in the heat of WWII action. The game includes all the highlights of the original and provides even better physics and unit models, complex team AI and new tactical opportunities. New unit commands such as move to cover and charge position help team survival while new personal moves like climbing over fences and aimed-shots keep individual soldiers fighting. Four new campaigns give players an opportunity to command American, English, Soviet and German troops during world-renowned battles that include D-Day and the storming of Berlin. On top of all that players will also have a chance to fight through new winter missions that give them a whole new experience. Faces of War demonstrates a completely new level of AI that allows players to gain full control of units on one hand and to concentrate on more strategic aspects on the other. AI controlled soldiers don’t simply execute any order given by a player, they think how to do it the most efficient and safe way. From now on all human units in the game possess a new characteristic - morale, which is influenced by many in-game events. [1C Company]",21,Best Way,Ubisoft,1,"Strategy,Real-Time,Historic,General,Historic"
3726,The King's Bird,"August 23, 2018",PC,67,7.0,The King's Bird is a momentum-based precision-platformer that seamlessly combines parkour with aerial movement.,15,Serenity Forge,Serenity Forge,4,"Action,Platformer,2D"
3727,Tyranny: Bastard's Wound,"September 7, 2017",PC,67,7.1,"Experience a new chapter of Tyranny, the critically-acclaimed role-playing game (RPG), in Bastard’s Wound, a new expansion that builds upon the game’s compelling story. Tyranny, an original RPG from Obsidian Entertainment, invites the player to make their mark on a world conquered by evil, and the Bastard’s Wound expansion opens up a new area of the Tiers where refugees from the war-torn world have established a haven in secret. Delve deeper into the mysteries of Terratus as you bring Kyros' justice (or your own version of it) to a new corner of the Tiers. In addition to the new region, Bastard's Wound gives you a chance to learn more about your party in a trio of companion quests featuring Lantry, Verse, and Barik.",8,Obsidian Entertainment,Paradox Interactive,1,"Role-Playing,Western-Style"
3728,NBA Playgrounds,"May 9, 2017",PC,67,7.2,"Classic NBA arcade action is back! Take your “A” game to the playground and beat the best in high-flying 2-on-2 basketball action. Practice your skills offline, play with up to three others and take your talents online to posterize your opponents with acrobatic jams and ridiculous displays of skill.",7,Saber Interactive,Saber Interactive,4,"Sports,Team,Basketball,Arcade"
3729,Dungeon Souls,"December 2, 2016",PC,67,6.0,"Dungeon Souls is a two-dimensional hack n' slash roguelike dungeon crawler. Explore randomly generated dungeons, collect legendary items, and upgrade six unique heroes to conquer the dark forces that roam the depths below.",8,Mike Studios,Black Shell Games,1,"Role-Playing,Action RPG"
3730,Sebastien Loeb Rally Evo,"January 29, 2016",PC,67,7.1,Sebastien Loeb Rally Evo is an off-road racing game experience that teams players with the greatest racer in Rally history: Se?bastien Loeb.,14,Milestone S.r.l,Milestone S.r.l,3,"Racing,General"
3731,Platformines,"March 28, 2014",PC,67,7.0,"Platformines is a unique 2D platformer packed with exploration, RPG and shooter elements, set in a vast 16-bit underground world! Customise your character, master all difficulty levels and literally jump to the top of the leaderboards to prove your skills!",10,Magiko Gaming,Namco Bandai Games,1,"Action,Action Adventure,Platformer,Open-World,2D"
3732,AquaNox,"November 19, 2001",PC,67,7.8,"Come aboard and explore the dangerous and merciless deep sea with all its adventures. Features over 30 single-player-missions; 9 completely different playerships; over 40 different enemies, including gigantic creatures; gripping story and detailed world with over 70 NPCs; and deathmatch and teambased multiplayer modes. [Fishtank Interactive]",13,Massive Development,Fishtank Interactive,1,"Simulation,Sci-Fi,Marine,Futuristic Sub,Futuristic Sub,Combat"
3733,Silence of the Sleep,"October 1, 2014",PC,66,7.6,"Assume the role of a man called Jacob Reeves. A man who has lost his reason to live. He throws himself into a blackness to end his misery, but instead of it being the end he wakes up without a memory of his life before.",11,Jesse Makkonen,Jesse Makkonen,1,"Adventure,General"
3734,Age of Mythology: Extended Edition,"May 8, 2014",PC,66,7.5,"The classic real time strategy game that transports players to a time when heroes did battle with monsters of legend and the gods intervened in the affairs of mortals. Use mythological creatures like Minotaurs and Cyclopes to bolster your armies' strength. Call upon the gods for assistance in flattening enemy towns with meteors or scatter opposing troops with lightning storms. 

The Extended Edition includes: 
Age of Mythology 
Age of Mythology: The Titans 
Golden Gift Campaign",7,Ensemble Studios,Microsoft Game Studios,1,"Strategy,Real-Time,General,Fantasy"
3735,Far Cry 6 - Pagan: Control,"January 11, 2022",PC,66,5.1,"Set within the confines of Min's mind, this DLC blends ""intense action and storytelling"" as players explore Min's psyche and attempt to help break the self-proclaimed King of Kyrat's cycle of guilt and violence. In order to convey the trial-and-error process of growth and self-reflection, Pagan: Control pays tribute to the rougelite genre, meaning each death as Min sends the player back to the start of the DLC with only their accumulated knowledge and skills to help guide them through their second (and third, and fourth...) time around. Last but not least, Far Cry 4 fans may be interested to know Min's original voice actor, Troy Baker, will be returning to the Far Cry series for this performance.",7,Ubisoft Toronto,Ubisoft,6,"Action Adventure,Open-World"
3736,Pro Cycling Manager Season 2015,"June 18, 2015",PC,66,7.2,,7,Cyanide,Focus Home Interactive,1,"Sports,Individual,Biking"
3737,Among the Sleep,"May 29, 2014",PC,66,7.4,"Among The Sleep invites you into the mind and body of a two year old child. After being put to bed one evening, mysterious things start to happen. Played in first person, the game lets its players immerse themselves in a child's limitless imagination. This is a perspective we all have a distant familiarity with, but few can clearly remember what it felt like. In the borderland between dream and reality, surreal creatures and diverse environments will present you with both physical and mental obstacles that challenge your creativity.",40,Krillbite Studio,Krillbite Studio,3,"Modern,Adventure,3D,First-Person,Modern"
3738,Culpa Innata,"November 2, 2007",PC,66,7.7,"A World Union citizen is murdered in Russia, one of the few remaining Rogue States. This murder oddly coincides with the accidental death of a prominent professor in Adrianopolis, an important border town between the World Union and Russia.  Peace Officer Phoenix Wallis is assigned to lead the investigation of the murder.  Still young and inexperienced, she will soon make discoveries beyond her wildest imagination, as skilled hackers and subversive characters begin taking an inexplicable interest in Phoenix.  Her investigation reveals enigmatic clues that lead her deeper and deeper into a mystery that challenges not only her case, but her very beliefs in the worldview she has sworn to protect. This story-driven, third person game uses a 3D engine with dynamic cameras and other technologies developed by Momentum AS. The game features a wide variety of organic obstacles ranging from logic puzzles to hi-tech gadget manipulation to dialogue and inventory challenges. [Strategy First]",13,Momentum DMT,Strategy First,1,"Adventure,3D,Sci-Fi,Sci-Fi,Third-Person"
3739,Heroes of Might and Magic V: Hammers of Fate,"November 14, 2006",PC,66,8.3,"Key features of the expansion pack include: New faction: Introducing the brand-new Dwarves faction, made up of heroic warriors and rune magic adepts who stalk Ashan's deepest mountains and most hostile regions. A brand-new adventure: Featuring 15 new missions, new heroes, and improved cut-scenes, the new campaign will lead players even deeper into the dramatic events that began with Heroes of Might and Magic V. Extended game experience: Includes a wealth of new spells and abilities, 5 new single-player maps, 10 new multiplayer maps, new buildings, new artifacts, and new neutral creatures, Heroes of Might and Magic V: Hammers of Fate gives players the tools to develop new tactics and further their game experience both online and offline. Improved mechanics and gameplay: New features, such as Caravans and a random map generator, allow players to have unlimited replay options and an even smoother gameplay experience. In addition, the simultaneous turn feature will speed up online games. [Ubisoft]",10,Nival Interactive,Ubisoft,1,"Strategy,Turn-Based,Fantasy,General,Fantasy"
3740,The Sims 4: Outdoor Retreat,"January 13, 2015",PC,66,5.7,"Take your Sims camping and explore the all-new destination of Granite Falls in The Sims 4 Outdoor Retreat! Venture into the deep woods to discover new surprises, including dangerous and wondrous herbs, new species of fish, creepy insects and…bears? Hang out by the campfire before trying to find the hermit rumored to live in the deepest parts of the forest.",7,Maxis,Electronic Arts,2,"Simulation,Virtual,Virtual Life"
3741,Biomutant,"May 25, 2021",PC,66,6.3,"Biomutant is an open-word, post-apocalyptic Kung-Fu fable RPG, with a unique martial arts styled combat system allowing you to mix melee, shooting and mutant ability action. Your actions play a major part in the unfolding of a story where End is coming to the New World. A plague is ruining the land and the Tree-of-Life is bleeding death from its roots. The Tribes stand divided, in need of someone strong enough to unite them or bring them all down...
Although you are guided through the world by a Storyteller that narrates every step of your journey, it's your actions and choices that'll decide how your story of survival ends.",62,Experiment 101,THQ Nordic,3,"Role-Playing,Action RPG"
3742,Devil May Cry 3: Special Edition,"October 16, 2006",PC,66,8.5,"Devil May Cry 3 marks the return of the world’s toughest demon slayer, Dante, in a riveting new game marked by complex storylines, striking graphics and unadulterated stylistic action. As a prequel to the first Devil May Cry, the story unfolds an earlier chapter in Dante’s history, to a fateful clash with his evil twin brother. In addition to its characteristic fast paced action, the game increases the intensity with a new ""style"" system. It adds more depth to gameplay and allows players to choose between short-range, long-range, defensive or evasive play styles. Each system has its own range of features and players can power up their favorite style for increased special attack abilities. Special Edition feature: Now play as Dante’s twin Vergil! [Capcom]",8,Sourcenext,Ubisoft,3,"Action,Action Adventure,Fantasy,Beat-'Em-Up,Fantasy,Linear"
3743,Blood Omen 2,"March 25, 2002",PC,66,8.2,"400 years have passed since the vampire Kain damned the world in the original Blood Omen, choosing to rule the world in damnation then die for it?s salvation. Now Kain, who once controlled the land of Nosgoth with his vampire armies, finds his brethren slain and his dark powers stripped by a mysterious figure. To reclaim his rule and exact his vengeance, Kain must dispatch armies of zealot soldiers and overcome legions of demons in order to uncover the ominous plot that threatens the land he seeks to conquer. [Eidos Interactive]",8,"Crystal Dynamics, Nixxes Software",Eidos Interactive,2,"Action Adventure,Horror,Horror,Survival"
3744,City Life 2008 Edition,"July 29, 2008",PC,66,7.6,"The game puts players in the role of an urban planner and real estate developer, designing, building and maintaining every aspect of their creation. The latest version contains an additional 23 maps as well as the possibility to import satellite maps. There are also 60 new buildings including London landmarks such as St. Paul’s Cathedral and the Royal Opera House. [Ascaron]",14,Paradox Interactive,Paradox Interactive,1,"Strategy,City Building,Management,Modern,Modern,Government"
3745,Quantum Break,"April 5, 2016",PC,66,5.7,"Quantum Break blurs the line between television and gameplay, integrating the two into one seamless, uniquely immersive experience. Quantum Break weaves the cinematic action of intense gameplay with the tension and drama of scripted television, creating a world where each has a direct impact on the other.",14,Remedy Entertainment,Microsoft Game Studios,2,"Action,General"
3746,Pitfall: The Lost Expedition,"October 15, 2004",PC,66,7.3,"Deep in the Peruvian Jungle, assume the role of Pitfall Harry, a fearless, rough-and-ready treasure seeker who battles evil using his athletic ability and a knapsack filled with adventure gear. Your mission: race against a rival explorer to find hidden treasures, which in the wrong hands could spell doom for you and your friends. Featuring over 50 perilous levels, including lush rain forests, creature-ridden caves and vast glacial mountains, you are challenged to explore a dynamic obstacle-filled world. Adventure your way through a vast landscape, from forests to ancient ruins to subterranean mines. With fast-paced action pathways and a host of obstacles and challenges, you must face the consequences of your every decision. Crossing treacherous jungle terrain and dark areas filled with puzzles, tricks and traps, you'll be swinging on vines, avoiding crocodiles and dodging rolling logs as you unearth artifacts and use your cunning to defeat dangerous foes. Laugh in the face of danger! [Activision]",9,Beenox,Aspyr,2,"Action,Platformer,Platformer,3D,3D"
3747,BlazeRush,"October 28, 2014",PC,66,8.3,"Welcome to the world of racing and frantic fun!

BlazeRush is a dynamic arcade racing survival game with no health, no levelling and no brakes!
You can assemble a team of friends to play in local or online multiplayer, choose a car to your taste and chase, blow up and cut off!

Adapt your style and tactics to new enemies, obstacles and tracks.",8,Targem Games,Targem Games,4,"Driving,Racing,Arcade,Automobile"
3748,Saints Row: Gat Out of Hell,"January 20, 2015",PC,66,6.2,"Get with Johnny Gat & Kinzie Kensington as you tear apart Hell in a mission to save the Boss’ soul. Historic icons, old friends, older enemies, a talking gun, a full length musical number and more shenanigans await you.",24,Volition Inc.,Deep Silver,5,"Action Adventure,General,Modern,Open-World"
3749,Nibiru: Age of Secrets,"August 31, 2005",PC,66,5.5,"Martin Holan, a linguistics and archeology student has been contacted by his uncle to examine a mysterious World War II tunnel unearthed while building a new highway in Bohemia. A friend of Martin’s uncle is supposed to meet Martin upon his arrival to brief him on the mysterious discovery, however when he arrives in Prague he discovers she has been murdered. What begins as a short expedition to Prague to examine an enigmatic tunnel turns into a dangerous and thrilling mystery, where murder, deception, the deep dark secrets of the Nazis, and the demise of the Mayan civilization, have our hero reeling into the heart of an exhilarating adventure. [Adventure Company]",12,Future Games,The Adventure Company,1,"Adventure,General,General"
3750,Submerged: Hidden Depths,"March 10, 2022",PC,66,5.0,"Boat, climb, interact and explore in the beautiful ruins of a sunken world.",10,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,6,"Adventure,3D,Third-Person"
3751,Fallen Legion+,"January 5, 2018",PC,66,tbd,Fallen Legion is an intense action RPG where every battle is a heart-pounding fight and each gut-wrenching choice impacts the realm.,11,YummyYummyTummy,YummyYummyTummy,1,"Role-Playing,Action RPG"
3752,Glory of the Roman Empire,"July 3, 2006",PC,66,7.5,"The glorious age of Rome - a time when the empire was at its peak, envied and feared by friend and foe alike. All across the provinces governors spared no expense to build cities of unparalleled splendor and magnificence and leave their mark in history. In Glory of the Roman Empire, players enter this time of wonder and use their city building skills to create cities that would humble even Rome itself. In campaign mode, players use careful planning and governing in order to become the empire's most respected governor. Or they can go online in Challenge mode to best players across the Internet and determine who can build an empire to stand the test of time. Glory of the Roman Empire is an easy to learn, yet difficult to master city building and management simulation that will challenge players in an historically authentic settings, while lush graphics immerse the player in the culture of the ancient Roman empire. [CDV Software]",34,"Haemimont, Haemimont Games",cdv Software,1,"Strategy,City Building,Management,Historic,Historic,Government"
3753,The Lord of the Rings: War in the North,"November 1, 2011",PC,66,7.2,"In The Lord of the Rings: War in the North, players can become the heroes in the great battle of the North as part of the epic War of the Ring. Exploring unseen lands, story elements and characters from Middle-earth as well as elements familiar from past feature films, gamers will experience extensive character customization and development, expansive co-op gameplay options and upgradeable weapons, skills and special abilities.",21,Snowblind Studios,Warner Bros. Interactive Entertainment,3,"Role-Playing,Action RPG,Action RPG"
3754,Far Gate,"September 10, 2001",PC,66,tbd,"Seattle development house Super X Studios brings us this 3D real-time strategy title set in massive, constantly changing and moving  360° space environments with 16 missions, 3 unique races, and over 75 distinctive units.",9,Super X Studios,Microids,1,"Strategy,Real-Time,General,General"
3755,Majestic,"July 31, 2001",PC,66,7.3,"Majestic is an episodic online entertainment experience set against the backdrop of a grand and sinister conspiracy -- an unfolding mystery adventure that uses the Internet as a canvas for its story, weaving you through both real and fictional experiences in real time.  [Electronic Arts]",8,Anim-X,Electronic Arts,1,"Adventure,General,General"
3756,Alone in the Dark: The New Nightmare,"June 25, 2001",PC,66,7.8,"From the moment Edward Carnby and Aline Cedrac set foot on Shadow Island, they were confronted by evil creatures intent on thwarting their progress to recover three ancient tablets. Fears threaten from every corner. The slightest shadow could be hiding deep secrets, or concealing worse nightmares ... [Infogrames]",16,Spiral House,Infogrames,1,"Action Adventure,Horror,Horror,Survival"
3757,This is the Police 2,"July 31, 2018",PC,66,6.6,"Interpret the law as you will. Run the sheriff’s department, manage your cops, investigate, interrogate, incarcerate, make tough decisions – and try to keep out of prison yourself. – in this story-driven mixture of adventure and strategy, set in a cold border town riven with violence.",34,Weappy Studio,Weappy Studio,5,"Simulation,Virtual,Career"
3758,Oozi: Earth Adventure,"September 16, 2012",PC,66,6.9,We're happy to announce that Oozi: Earth Adventure is now available to all PC gamers! The PC version includes all four episodes previously released on Xbox Live Indie Games.,10,"AwesomeGamesStudio, Awesome Games Studio",AwesomeGamesStudio,1,"Action,Miscellaneous,Platformer,Compilation,2D"
3759,Secret Files: Tunguska,"October 30, 2006",PC,66,7.3,"Nina is torn from her day-to-day routine when she discovers that her father has disappeared without a trace. As the police seem reluctant to help her, Nina sets off to look for clues relating to her father's whereabouts. She joins efforts with Max Gruber, a young colleague of her father who impulsively offers to help the attractive young lady. Together, they quickly determine that Nina's father was involved with a research expedition to Siberia in an attempt to reveal the causes of the mysterious Tunguska catastrophe of 1908. In that mysterious event, a mighty explosion triggered an inferno that decimated the land of Tunguska. Nina and Max soon realize that her father's disappearance is related to the Tunguska event and the search for answers leads Nina and Max to the most remote corners of the world – Berlin, Moscow, Cuba, China, and the Antarctic. Powerful adversaries are also interested in Nina's father's secret. In the end, much more is at stake than just the disappearance of an old man. [DreamCatcher Interactive]",26,Fusionsphere Systems,The Adventure Company,3,"Adventure,General,General"
